"### รายการธุรกรรมทั้งหมด"
"ลำดับ","เวลา","ประเภท","จาก","ไป","จำนวน(บาท)","หมายเหตุ","Σกระเป๋า+กอง หลังรายการ","เบิกสุทธิ หลังรายการ","ส่วนต่าง (ตรวจสมการ)"
"1","16/8/2569 19:13:23","เงินเริ่มต้นจาก BANK","BANK","อาร์ต","1000.00","เงินเริ่มต้น","1000.00","1000.00","0"
"2","16/8/2569 19:15:12","เงินเริ่มต้นจาก BANK","BANK","บอย","1000.00","เงินเริ่มต้น","2000.00","2000.00","0"
"3","16/8/2569 19:17:15","เงินเริ่มต้นจาก BANK","BANK","แนน","1000.00","เงินเริ่มต้น","3000.00","3000.00","0"
"4","16/8/2569 19:19:14","เงินเริ่มต้นจาก BANK","BANK","ป๋องแป๋ง","1000.00","เงินเริ่มต้น","4000.00","4000.00","0"
"5","16/8/2569 19:22:41","เงินเริ่มต้นจาก BANK","BANK","มิ้นท์","1000.00","เงินเริ่มต้น","5000.00","5000.00","0"
"6","16/8/2569 19:26:57","ลงกองกลาง","อาร์ต","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"7","16/8/2569 19:27:26","ลงกองกลาง","บอย","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"8","16/8/2569 19:27:53","ลงกองกลาง","แนน","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"9","16/8/2569 19:28:50","ลงกองกลาง","ป๋องแป๋ง","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"10","16/8/2569 19:29:55","ลงกองกลาง","มิ้นท์","กองกลาง","40.00","ลงกองกลาง","5000.00","5000.00","0"
"11","16/8/2569 19:30:41","ลงกอง","อาร์ต","กองกลาง","40.00","ขึ้นเป็น ฿40","5000.00","5000.00","0"
"12","16/8/2569 19:31:46","ลงกอง","แนน","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"13","16/8/2569 19:32:28","ลงกอง","ป๋องแป๋ง","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"14","16/8/2569 19:33:10","ลงกอง","มิ้นท์","กองกลาง","40.00","ตาม ฿40","5000.00","5000.00","0"
"15","16/8/2569 19:33:35","ลงกอง","อาร์ต","กองกลาง","100.00","ขึ้นเป็น ฿100","5000.00","5000.00","0"
